TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
3,2640,2014-2015,Sep,Wollongong City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Feb,Cobar Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Mar,MidCoast Council,Fail to comply with Food Standards Code - Corporation
2,1320,2016-2017,Mar,Department of Primary Industries,Handle/sell food so as to contravene the food safety scheme - Individual
6,5280,2013-2014,May,Inner West Council,Fail to comply with Food Standards Code - Corporation
3,1320,2015-2016,Feb,Penrith City Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Apr,Kiama Municipal Council,Fail to comply with Food Standards Code - Individual
3,2640,2013-2014,Jan,Liverpool Plains Shire Council,Fail to comply with Food Standards Code - Corporation
2,1320,2013-2014,Mar,Wollongong City Council,Fail to pay fee required by improvement notice - Individual
1,440,2013-2014,Nov,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Oct,Queanbeyan City Council,Sell food packaged/labelled contravening Food Standards Code - Individual
1,770,2013-2014,Oct,Department of Primary Industries,Handle food in manner likely to render it unsafe - Individual
2,1760,2013-2014,Nov,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2014-2015,Jul,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Jul,Cumberland Council,Fail to comply with Food Standards Code - Individual
2,880,2013-2014,Dec,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,880,2018-2019,Nov,Hawkesbury City Council,Fail to comply with Food Standards Code - Individual
9,7920,2018-2019,Jul,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,Mar,Port Stephens Council,Fail to comply with Food Standards Code - Individual
4,1760,2014-2015,Apr,Inverell Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,May,Bayside Council,Fail to comply with Food Standards Code - Corporation
5,4400,2015-2016,Nov,Bayside Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Jan,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Mar,Queanbeyan City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2018-2019,Dec,Georges River Council,Fail to comply with Food Standards Code - Corporation
3,2640,2016-2017,Oct,Hunters Hill Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,May,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
3,2640,2015-2016,Jan,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Oct,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
2,880,2017-2018,Aug,Waverley Council,Fail to notify appropriate enforcement agency - Individual
1,660,2015-2016,Oct,Northern Beaches Council,Fail to pay fee required by improvement notice - Individual
1,440,2013-2014,Nov,Waverley Council,Fail to notify appropriate enforcement agency - Individual
2,880,2017-2018,Sep,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
5,2200,2013-2014,Dec,Bayside Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,Oct,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Individual
3,1320,2016-2017,Feb,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Jul,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,1760,2012-2013,May,Byron Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Jun,Lismore City Council,Fail to comply with Food Standards Code - Individual
1,1320,2017-2018,Dec,Cobar Shire Council,Sell food that is unsuitable - Corporation
1,330,2013-2014,Apr,Blue Mountains City Council,Not continue to have food safety supervisor for premises - Individual
1,1320,2012-2013,Jun,Inner West Council,Fail to pay fee required by improvement notice - Corporation
2,880,2016-2017,Dec,Bayside Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,Dec,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
4,1760,2017-2018,Nov,City of Canada Bay Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Oct,Hornsby Shire Council,Not appoint food safety supervisor for premises - Corporation
2,880,2017-2018,Jan,Inner West Council,Fail to comply with Food Standards Code - Individual
2,2640,2014-2015,Sep,Blacktown City Council,Sell food that is unsuitable - Corporation
1,880,2013-2014,Jan,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Jun,Wagga Wagga City Council,Fail to notify appropriate enforcement agency - Corporation
2,880,2018-2019,Aug,Hawkesbury City Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Nov,Federation Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Sep,Goulburn Mulwaree Council,Fail to comply with Food Standards Code - Corporation
2,2640,2015-2016,Apr,Department of Primary Industries,Handle sell food so as to contravene the food safety scheme - Corporation
1,440,2014-2015,May,Hunters Hill Council,Fail to comply with Food Standards Code - Individual
9,7920,2014-2015,Nov,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,1540,2016-2017,Mar,Bayside Council,Handle food in manner likely to render it unsafe - Corporation
1,440,2017-2018,Dec,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Mar,Northern Beaches Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
4,3520,2017-2018,Sep,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2013-2014,Apr,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Dec,Lithgow City Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Oct,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Nov,Georges River Council,Fail to comply with Food Standards Code - Individual
2,880,2018-2019,Sep,MidCoast Council,Fail to comply with Food Standards Code - Individual
3,2640,2015-2016,Aug,Central Coast Council,Fail to comply with Food Standards Code - Corporation
3,1320,2018-2019,Aug,City of Parramatta,Fail to comply with Food Standards Code - Individual
3,2640,2013-2014,Oct,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
6,2640,2014-2015,Feb,Cumberland Council,Fail to comply with Food Standards Code - Individual
5,2200,2015-2016,Mar,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
4,3520,2015-2016,May,Georges River Council,Fail to comply with Food Standards Code - Corporation
17,14960,2014-2015,Jun,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
5,4400,2016-2017,Nov,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2018-2019,Jul,Camden Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Apr,Penrith City Council,Fail to pay fee required by improvement notice - Individual
1,880,2014-2015,Mar,Albury City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2018-2019,Oct,Waverley Council,Fail to comply with Food Standards Code - Corporation
1,330,2012-2013,Apr,City of Sydney Council,Not appoint food safety supervisor for premises - Individual
4,3520,2012-2013,Jun,Inner West Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Individual
6,5280,2015-2016,Jan,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
12,10560,2017-2018,Mar,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Nov,City of Ryde,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,Jan,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Apr,Penrith City Council,Fail to pay fee required by improvement notice - Individual
6,2640,2014-2015,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Individual
3,1320,2012-2013,Mar,Byron Shire Council,Fail to comply with Food Standards Code - Individual
1,330,2013-2014,Dec,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
1,660,2012-2013,Jun,Department of Primary Industries,Handle food in manner likely to render it unsuitable - Individual
7,6160,2013-2014,May,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Feb,Bathurst Regional Council,Fail to comply with Food Standards Code - Individual
5,4400,2014-2015,Aug,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,660,2014-2015,Nov,City of Sydney Council,Fail to pay fee required by improvement notice - Individual
1,1540,2014-2015,Aug,Department of Primary Industries,Sell food packaged/labelled that falsely describes the food - Corporation
1,660,2014-2015,May,Randwick City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,660,2015-2016,Mar,Georges River Council,Sell food that is unsuitable - Individual
2,1760,2013-2014,Oct,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
1,440,2018-2019,Oct,Armidale Regional Council,Fail to notify appropriate enforcement agency - Individual
2,880,2017-2018,Apr,Bayside Council,Fail to comply with Food Standards Code - Individual
14,12320,2012-2013,May,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Apr,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
5,2200,2012-2013,Jun,Bayside Council,Fail to comply with Food Standards Code - Individual
1,440,2012-2013,May,Bayside Council,Fail to comply with Food Standards Code - Individual
1,660,2012-2013,Jun,Liverpool City Council,Not appoint food safety supervisor for premises - Corporation
2,1760,2012-2013,Apr,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Jul,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Oct,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
5,2200,2013-2014,Nov,City of Sydney Council,Fail to comply with Food Standards Code - Individual
5,4400,2013-2014,Nov,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,3080,2013-2014,Sep,Department of Primary Industries,Sell food packaged/labelled that falsely describes the food - Individual
1,880,2013-2014,Dec,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Aug,Department of Primary Industries,Sell food that is unsuitable - Corporation
2,1760,2013-2014,Jan,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Feb,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Aug,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Jan,Central Coast Council,Sell food packaged/labelled contravening Food Standards Code - Individual
1,440,2013-2014,May,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Mar,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
4,1760,2014-2015,Jul,Fairfield City Council,Fail to comply with Food Standards Code - Individual
2,2640,2014-2015,Aug,City of Ryde,Handle food in manner likely to render it unsuitable - Corporation
2,2640,2014-2015,Aug,Fairfield City Council,Fail to pay fee required by improvement notice - Corporation
3,2640,2014-2015,Oct,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
6,2640,2014-2015,Dec,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
6,5280,2014-2015,Dec,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Feb,Inner West Council,Fail to comply with Food Standards Code - Individual
2,880,2014-2015,Jan,MidCoast Council,Fail to comply with Food Standards Code - Individual
1,330,2014-2015,Feb,Randwick City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
1,440,2015-2016,Sep,MidCoast Council,Fail to comply with Food Standards Code - Individual
6,5280,2015-2016,Nov,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
12,10560,2015-2016,Feb,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
6,2640,2015-2016,Feb,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
